CAR NAME,Toyota Camry 2020
VIN #,4T1B11HK5KU123456
LICENSE,ABC-1234
OWNER NAME,John Doe
CONTACT #,555-123-4567
EMAIL,john.doe@example.com
FUEL/GAS,Regular
TIRE SIZE,205/65R16
OIL TYPE,5W-30
TURO LINK,https://turo.com/car/12345
ADMIN TURO LINK,https://admin.turo.com/car/12345

SECTION,CAR MANAGEMENT OWNER SPLIT
Mode Settings,Jan 2025: 50,Feb 2025: 50,Mar 2025: 50,Apr 2025: 50,May 2025: 50,Jun 2025: 50,Jul 2025: 50,Aug 2025: 50,Sep 2025: 50,Oct 2025: 50,Nov 2025: 50,Dec 2025: 50,
Category,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,YER,YER SPLIT,TOTAL
Car Management Split,$0.00 (50%),$0.00 (50%),$0.00 (50%),$0.00 (50%),$0.00 (50%),$0.00 (50%),$0.00 (50%),$0.00 (50%),$0.00 (50%),$0.00 (50%),$0.00 (50%),$0.00 (50%),$0.00,$0.00,$0.00
Car Owner Split,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00

SECTION,INCOME & EXPENSES
Category,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,YER,YER SPLIT,TOTAL
Rental Income,$1000.00,$1200.00,$1100.00,$1300.00,$1400.00,$1500.00,$1600.00,$1700.00,$1800.00,$1900.00,$2000.00,$2100.00,$0.00,$0.00,$18600.00
Delivery Income,$50.00,$60.00,$55.00,$65.00,$70.00,$75.00,$80.00,$85.00,$90.00,$95.00,$100.00,$105.00,$0.00,$0.00,$930.00
Electric Prepaid Income,$25.00,$30.00,$28.00,$32.00,$35.00,$38.00,$40.00,$42.00,$45.00,$48.00,$50.00,$52.00,$0.00,$0.00,$465.00
Smoking Fines,$0.00,$0.00,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00
Gas Prepaid Income,$40.00,$45.00,$42.00,$48.00,$50.00,$52.00,$55.00,$58.00,$60.00,$62.00,$65.00,$68.00,$0.00,$0.00,$645.00
Ski Racks Income,$30.00,$35.00,$32.00,$38.00,$40.00,$42.00,$45.00,$48.00,$50.00,$52.00,$55.00,$58.00,$0.00,$0.00,$525.00
